  iter	                 x_k	              scarto
     1	    1.00000000000000	    1.0000000000e+00
     2	    1.78539816339745	    7.8539816340e-01
     3	    2.06023252579749	    2.7483436240e-01
     4	    2.11891127203231	    5.8678746235e-02
     5	    2.12984724344806	    1.0935971416e-02
     6	    2.13183092596420	    1.9836825161e-03
     7	    2.13218896073743	    3.5803477323e-04
     8	    2.13225352424735	    6.4563509915e-05
     9	    2.13226516493123	    1.1640683884e-05
    10	    2.13226726366397	    2.0987327334e-06
    11	    2.13226764204859	    3.7838462630e-07
    12	    2.13226771026823	    6.8219638827e-08
    13	    2.13226772256767	    1.2299438357e-08
    14	    2.13226772478516	    2.2174866388e-09
    15	    2.13226772518495	    3.9979486388e-10
    16	    2.13226772525703	    7.2079675562e-11
